poll_id,question_id,race,cycle,location,pollster,polldate,electiondate,days_to_election,samplesize,methodology,candidate,party,poll_pct,actual_pct,signed_error,absolute_error,source_url,official_result_url
46337,72465,2016_Pres-G_AL,2016,AL,Ipsos,2016-09-22,2016-11-08,47,312.0,Online Panel,Hillary Rodham Clinton,DEM,37.02,34.35794575797364,2.6620542420263646,2.6620542420263646,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47185,73862,2016_Pres-G_AL,2016,AL,Ipsos,2016-10-10,2016-11-08,29,482.0,Online Panel,Hillary Rodham Clinton,DEM,38.4,34.35794575797364,4.04205424202636,4.04205424202636,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48688,76268,2016_Pres-G_AL,2016,AL,Ipsos,2016-10-30,2016-11-08,9,328.0,Online Panel,Hillary Rodham Clinton,DEM,38.06,34.35794575797364,3.702054242026364,3.702054242026364,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48719,76300,2016_Pres-G_AL,2016,AL,YouGov,2016-10-20,2016-11-08,19,1388.0,Online Panel,Hillary Rodham Clinton,DEM,31.6,34.35794575797364,-2.757945757973637,2.757945757973637,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46058,72050,2016_Pres-G_AR,2016,AR,Ipsos,2016-09-12,2016-11-08,57,280.0,Online Panel,Hillary Rodham Clinton,DEM,41.08,33.65312412936093,7.426875870639066,7.426875870639066,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46819,73265,2016_Pres-G_AR,2016,AR,Ipsos,2016-10-03,2016-11-08,36,314.0,Online Panel,Hillary Rodham Clinton,DEM,35.6,33.65312412936093,1.9468758706390688,1.9468758706390688,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48779,76364,2016_Pres-G_AR,2016,AR,Ipsos,2016-10-27,2016-11-08,12,331.0,Online Panel,Hillary Rodham Clinton,DEM,38.14,33.65312412936093,4.486875870639068,4.486875870639068,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48722,76303,2016_Pres-G_AR,2016,AR,YouGov,2016-10-20,2016-11-08,19,736.0,Online Panel,Hillary Rodham Clinton,DEM,30.5,33.65312412936093,-3.1531241293609327,3.1531241293609327,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46057,72049,2016_Pres-G_AZ,2016,AZ,Ipsos,2016-09-15,2016-11-08,54,428.0,Online Panel,Hillary Rodham Clinton,DEM,41.65,45.12491703028259,-3.4749170302825902,3.4749170302825902,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46634,72928,2016_Pres-G_AZ,2016,AZ,Ipsos,2016-09-29,2016-11-08,40,617.0,Online Panel,Hillary Rodham Clinton,DEM,42.22,45.12491703028259,-2.90491703028259,2.90491703028259,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46818,73264,2016_Pres-G_AZ,2016,AZ,Ipsos,2016-10-10,2016-11-08,29,883.0,Online Panel,Hillary Rodham Clinton,DEM,38.92,45.12491703028259,-6.204917030282587,6.204917030282587,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47186,73863,2016_Pres-G_AZ,2016,AZ,Ipsos,2016-10-17,2016-11-08,22,300.0,Online Panel,Hillary Rodham Clinton,DEM,42.59,45.12491703028259,-2.5349170302825854,2.5349170302825854,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47778,74788,2016_Pres-G_AZ,2016,AZ,YouGov,2016-10-27,2016-11-08,12,994.0,Live Phone/Online Panel,Hillary Rodham Clinton,DEM,42.0,45.12491703028259,-3.124917030282589,3.124917030282589,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48211,75509,2016_Pres-G_AZ,2016,AZ,Marist,2016-10-31,2016-11-08,8,719.0,Live Phone,Hillary Rodham Clinton,DEM,40.0,45.12491703028259,-5.124917030282589,5.124917030282589,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48778,76363,2016_Pres-G_AZ,2016,AZ,Ipsos,2016-10-30,2016-11-08,9,593.0,Online Panel,Hillary Rodham Clinton,DEM,42.38,45.12491703028259,-2.7449170302825863,2.7449170302825863,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48721,76302,2016_Pres-G_AZ,2016,AZ,YouGov,2016-10-20,2016-11-08,19,1567.0,Online Panel,Hillary Rodham Clinton,DEM,37.8,45.12491703028259,-7.324917030282592,7.324917030282592,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
45893,71692,2016_Pres-G_CA,2016,CA,YouGov,2016-09-10,2016-11-08,59,1426.0,Online Panel,Hillary Rodham Clinton,DEM,50.0,61.72638863699762,-11.72638863699762,11.72638863699762,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
